,open,high,low,close,SMA_5,SMA_10,EMA_5,EMA_10,RSI,MACD,MACD_signal,BB_Middle,BB_Upper,BB_Lower,OBV,H-L,H-PC,L-PC,TR,ATR,ROC,Momentum,Std_Dev,future
2863,1368.9,1370.0,1366.4,1368.9,1368.8472222222222,1375.1854166666665,1369.7501397016504,1363.8787286433808,38.60294117647084,5.871411058269587,6.766834865522554,1368.8472222222222,1376.323964998506,1361.3704794459384,-189955371.0,3.599999999999909,0.650000000000091,2.949999999999818,3.599999999999909,4.983333333333336,0.0005481855059752405,0.75,3.738371388141917,0.0
2864,1369.5,1370.0,1362.7,1364.25,1368.7527777777777,1374.725,1369.4528348529127,1363.8889004613704,38.60294117647084,5.563934391542261,6.526254770726497,1368.7527777777777,1376.3761982492963,1361.1293573062592,-192302723.0,7.2999999999999545,1.099999999999909,6.2000000000000455,7.2999999999999545,5.009722222222219,-0.0024860161591051533,-3.400000000000091,3.811710235759243,0.0
2865,1364.5,1364.7,1357.55,1359.1,1368.4166666666667,1374.2340277777778,1368.8932221581608,1363.757697709004,28.767123287671225,5.135524449156719,6.248108706412542,1368.4166666666667,1376.6395615342312,1360.1937717991023,-194680835.0,7.150000000000091,0.4500000000000455,6.7000000000000455,7.150000000000091,5.0597222222222245,-0.008824387397899702,-12.100000000000136,4.11144743378226,0.0
2866,1358.75,1364.2,1358.6,1364.05,1368.3194444444443,1373.9840277777778,1368.6314263658278,1363.7657059909493,41.70403587443935,4.865720374878492,5.971631040105732,1368.3194444444443,1376.6663267634578,1359.9725621254308,-192288000.0,5.600000000000136,5.100000000000136,0.5,5.600000000000136,5.070833333333338,-0.0025593214142078935,-3.5,4.173441159506773,0.0
2867,1364.0,1366.1,1360.0,1361.5,1368.2763888888887,1373.5881944444445,1368.2459438595668,1363.703631854211,42.081447963800876,4.542312005355825,5.685767233155751,1368.2763888888887,1376.7501293723349,1359.8026484054426,-194693068.0,6.099999999999909,2.0499999999999545,4.0499999999999545,6.099999999999909,5.07916666666667,-0.0011371556435934016,-1.5499999999999545,4.236870241723043,0.0
2868,1361.0,1366.1,1360.8,1366.0,1368.3236111111112,1373.2798611111111,1368.1245414887794,1363.766546049986,42.47191011235976,4.357995438793523,5.420212874283306,1368.3236111111112,1376.7248180351664,1359.922404187056,-192269929.0,5.2999999999999545,4.599999999999909,0.7000000000000455,5.2999999999999545,5.027777777777784,0.0012460602506780827,1.7000000000000455,4.200603462027638,0.0
2869,1365.5,1366.0,1359.0,1359.8,1368.1791666666668,1372.8604166666669,1367.6745662731696,1363.6578735554656,33.749999999999886,4.016692717704018,5.139508842967448,1368.1791666666668,1376.984566795655,1359.3737665376786,-194715203.0,7.0,0.0,7.0,7.0,5.13611111111112,-0.003809523809523818,-5.2000000000000455,4.402700064494063,0.0
2870,1359.15,1361.95,1359.0,1360.0,1368.0680555555557,1372.4618055555557,1367.2597248529983,1363.5576578416174,40.97664543524423,3.7020670113809047,4.852020476650139,1368.0680555555557,1377.1858294938759,1358.9502816172355,-192256193.0,2.9500000000000455,2.150000000000091,0.7999999999999545,2.9500000000000455,5.104166666666679,-0.0029325513196480912,-4.0,4.558886969160106,0.0
2871,1360.7,1364.0,1359.0,1362.9,1368.0013888888889,1371.8208333333334,1367.0240640501336,1363.5396398185594,58.92018779342758,3.4844242315741667,4.578501227634945,1368.0013888888889,1377.2367707316057,1358.766007046172,-189782415.0,5.0,4.0,1.0,5.0,5.161111111111122,-0.0017578554163919513,-2.3999999999998636,4.617690921358465,0.0
2872,1362.8,1363.9,1360.0,1361.95,1367.8930555555555,1371.2340277777776,1366.749790317694,1363.4960880427084,43.93063583815062,3.2537022749856988,4.313541437105096,1367.8930555555555,1377.3217398383488,1358.4643712727623,-192275261.0,3.900000000000091,1.0,2.900000000000091,3.900000000000091,5.131944444444457,-0.002855364791155557,-3.8999999999998636,4.714342141396615,0.0
